url,label,source,last_update,accuracy,transparency,type,accuracy_bin
notiziepericolose.blogspot.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilmattoquotidiano.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilmessaggio.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilfattoquotidaino.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilquotidaino.wordpress.com,false satire,bufale,2018,1,1,unreliable,inaccurate
liberogiornale.com,false satire,bufale,2018,1,1,unreliable,inaccurate
notiziariosegreto.wordpress.com,false satire,bufale,2018,1,1,unreliable,inaccurate
secretnews.fr,false satire,bufale,2018,1,1,unreliable,inaccurate
superbamente.com,false satire,bufale,2018,1,1,unreliable,inaccurate
worldnewsdailyreport.com,false satire,bufale,2018,1,1,unreliable,inaccurate
fonteverificata.it,false satire,bufale,2018,1,1,unreliable,inaccurate
dionidream.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
lastella.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
segnidalcielo.it,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
pianetablunews.wordpress.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
saltoquantico.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
autismovaccini.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
jedanews.it/blog,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
naturalnews.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
notiziespericolate.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
viaggialowcost.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
sadefenza.blogspot.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
renovatio21.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
devinformarti.blogspot.it/?m=1,political disinformation,bufale,2018,1,1,unreliable,inaccurate
imolaoggi.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
scenarieconomici.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
voxnews.info,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informarexresistere.fr,political disinformation,bufale,2018,1,1,unreliable,inaccurate
breaknotizie.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
direttanews24.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
fascinazione.info,political disinformation,bufale,2018,1,1,unreliable,inaccurate
tg5stelle.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
blogopenyoureyes.altervista.org,political disinformation,bufale,2018,1,1,unreliable,inaccurate
ilbazarinformazione.blogspot.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informare.over-blog.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
notizieinmovimentonews.blogspot.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
tg24-ore.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informaresenzacensure.blogspot.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
byoblu.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
mag24.es,political disinformation,bufale,2018,1,1,unreliable,inaccurate
iocritico.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
sostenitori.info,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
irresponsabile.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
aidaa-animaliambiente.blogspot.it,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
thuglifevideos.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
yournewswire.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
maurizioblondet.it,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
tgnewsitalia.it/wp,clickbait,bufale,2018,2,2,reliable,inaccurate
vnews24.it,clickbait,bufale,2018,2,2,reliable,inaccurate
internapoli.it,clickbait,bufale,2018,2,2,reliable,inaccurate
americablog.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
commondreams.org,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
dailycaller.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
elitereaders.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
endtime.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
livevote.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
lovethispic.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
meanlefthook.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
occupyliberals.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
patriotchronicle.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
rawstory.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
remedydaily.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
twitchy.com,clickbait,columbia_journalism_review,2021-04,2,2,reliable,inaccurate
bigpzone.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable,inaccurate
wideawakeamerica.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable,inaccurate
redflagnews.com,clickbait,fake_news_watch,2016-01-18,2,2,reliable,inaccurate
amusmentic.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
automotostar.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
chicksontheright.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
educateinspirechange.org/health,clickbait,zimdars,2016,2,2,reliable,inaccurate
heatst.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
indiaarising.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
liberalamerica.org,clickbait,zimdars,2016,2,2,reliable,inaccurate
uslifetoday.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
usuncut.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
viraltube.nl,clickbait,zimdars,2016,2,2,reliable,inaccurate
yournationnews.com,clickbait,zimdars,2016,2,2,reliable,inaccurate
sulatestagiannilannes.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tmcrew.org,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tanker-enemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tankerenemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
nocensura.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
sapereeundovere.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
luogocomune.net/lc,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
disinformazione.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
centrometeoitaliano.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
informatitalia.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
signoraggio.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
