url,label,source,last_update,accuracy,transparency,type,accuracy_bin
notiziepericolose.blogspot.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilmattoquotidiano.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilmessaggio.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilfattoquotidaino.it,false satire,bufale,2018,1,1,unreliable,inaccurate
ilquotidaino.wordpress.com,false satire,bufale,2018,1,1,unreliable,inaccurate
liberogiornale.com,false satire,bufale,2018,1,1,unreliable,inaccurate
notiziariosegreto.wordpress.com,false satire,bufale,2018,1,1,unreliable,inaccurate
secretnews.fr,false satire,bufale,2018,1,1,unreliable,inaccurate
superbamente.com,false satire,bufale,2018,1,1,unreliable,inaccurate
worldnewsdailyreport.com,false satire,bufale,2018,1,1,unreliable,inaccurate
fonteverificata.it,false satire,bufale,2018,1,1,unreliable,inaccurate
dionidream.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
lastella.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
segnidalcielo.it,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
pianetablunews.wordpress.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
saltoquantico.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
autismovaccini.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
jedanews.it/blog,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
naturalnews.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
notiziespericolate.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
viaggialowcost.altervista.org,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
sadefenza.blogspot.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
renovatio21.com,medical and scientific disinformation,bufale,2018,1,1,unreliable,inaccurate
devinformarti.blogspot.it/?m=1,political disinformation,bufale,2018,1,1,unreliable,inaccurate
imolaoggi.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
scenarieconomici.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
voxnews.info,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informarexresistere.fr,political disinformation,bufale,2018,1,1,unreliable,inaccurate
breaknotizie.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
direttanews24.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
fascinazione.info,political disinformation,bufale,2018,1,1,unreliable,inaccurate
tg5stelle.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
blogopenyoureyes.altervista.org,political disinformation,bufale,2018,1,1,unreliable,inaccurate
ilbazarinformazione.blogspot.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informare.over-blog.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
notizieinmovimentonews.blogspot.it,political disinformation,bufale,2018,1,1,unreliable,inaccurate
tg24-ore.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
informaresenzacensure.blogspot.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
byoblu.com,political disinformation,bufale,2018,1,1,unreliable,inaccurate
mag24.es,political disinformation,bufale,2018,1,1,unreliable,inaccurate
iocritico.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
sostenitori.info,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
irresponsabile.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
aidaa-animaliambiente.blogspot.it,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
thuglifevideos.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
yournewswire.com,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
maurizioblondet.it,scandal hoax,bufale,2018,1,1,unreliable,inaccurate
sulatestagiannilannes.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tmcrew.org,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tanker-enemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
tankerenemy.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
nocensura.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
sapereeundovere.com,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
luogocomune.net/lc,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
disinformazione.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
centrometeoitaliano.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
informatitalia.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
signoraggio.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
albainternazionale.blogspot.it,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/oggi24ore,websites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/scienza-di-confine-188189217954979,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/stopinvasioneclandestina,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/noncielodicono,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/robyfanpage.it/?ref=br_rs,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/sardegnatoday,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/sadefenza,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
twitter.com/radiosavana?ref_src=twsrc%5egoogle%7ctwcamp%5eserp%7ctwgr%5eauthor,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/quello-che-non-ci-dicono-107884204213182,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
facebook.com/websocialtv,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
twitter.com/socialtvntw,social media sites of conspiracy theorists and hoax spreaders,bufale,2018,1,1,unreliable,inaccurate
anno3000.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
corrieredelcorsaro.it,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
gazzettadellasera.com,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
gazzettinoweb.altervista.org,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
ilcazzoquotidiano.altervista.org/blog,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
notiziepericolose.blogspot.com,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
facebook.com/ilfalloquotidiano,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
ilgiornaliere.com,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
ilgiomale.it,misleading,bufalopedia,2020-05-05,2,1,unreliable,inaccurate
